age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,4,1,2,0,1.8393428371408234,1,0,2,-1.2884179500215982,8,0.4085759678425095,-0.8856866463353108,0.0,0.0,0,0
44,9,2,1,0,-0.6967913149774759,1,0,2,-1.2884179500215982,8,-0.3890152578351924,-0.8856866463353108,0.0,0.0,0,0
33,2,1,1,0,-0.7291828107708506,1,1,2,-1.2884179500215982,8,-0.9328274571608982,-0.8856866463353108,0.0,0.0,0,0
47,1,1,3,0,1.0751434734230576,1,0,2,-1.2884179500215982,8,-0.8168141879714144,-0.8856866463353108,0.0,0.0,0,0
33,11,2,3,0,-0.7303824958002348,0,0,2,-1.2884179500215982,8,-0.04822627959108342,-0.8856866463353108,0.0,0.0,0,0
35,4,1,2,0,-0.4544549390418579,1,0,2,-1.2884179500215982,8,-0.47602520972730533,-0.8856866463353108,0.0,0.0,0,0
28,4,2,2,0,-0.19532297269486046,1,1,2,-1.2884179500215982,8,0.08953947757142872,-0.8856866463353108,0.0,0.0,0,0
42,2,0,2,1,-0.7291828107708506,1,0,2,-1.2884179500215982,8,1.271424657439296,-0.8856866463353108,0.0,0.0,0,0
58,5,1,0,0,-0.5864202922741252,1,0,2,-1.2884179500215982,8,-1.1213490195938096,-0.8856866463353108,0.0,0.0,0,0
43,9,2,1,0,-0.020168958404760313,1,0,2,-1.2884179500215982,8,-1.085094872972096,-0.8856866463353108,0.0,0.0,0,0
41,0,0,1,0,-0.40766722289587226,1,0,2,-1.2884179500215982,8,0.12579362419314244,-0.8856866463353108,0.0,0.0,0,0
29,0,2,1,0,-0.26370501936976254,1,0,2,-1.2884179500215982,8,-0.49052686837599085,-0.8856866463353108,0.0,0.0,0,0
53,9,1,1,0,-0.7243840706533136,1,0,2,-1.2884179500215982,8,2.2647882748742516,-0.8856866463353108,0.0,0.0,0,0
58,9,1,3,0,-0.6464045437433376,1,0,2,-1.2884179500215982,8,-0.969081603782612,-0.8856866463353108,0.0,0.0,0,0
57,7,1,1,0,-0.537233206069371,1,0,2,-1.2884179500215982,8,-0.2222461833753093,-0.8856866463353108,0.0,0.0,0,0
51,5,1,0,0,-0.4568543091006264,1,0,2,-1.2884179500215982,8,1.075652265682042,-0.8856866463353108,0.0,0.0,0,0
45,0,2,3,0,-0.7159862754476238,1,0,2,-1.2884179500215982,8,-0.7733092120253579,-0.8856866463353108,0.0,0.0,0,0
57,1,1,0,0,-0.6691985593016382,1,0,2,-1.2884179500215982,8,-1.2083589714859224,-0.8856866463353108,0.0,0.0,0,0
60,5,1,0,0,-0.6596010790665643,1,0,2,-1.2884179500215982,8,0.10404113622011421,-0.8856866463353108,0.0,0.0,0,0
33,7,1,1,0,-0.7315821808296191,1,0,2,-1.2884179500215982,8,-1.0923457022964387,-0.8856866463353108,0.0,0.0,0,0
28,1,1,1,0,0.13579009541519185,1,1,2,-1.2884179500215982,8,0.4158267971668522,-0.8856866463353108,0.0,0.0,0,0
56,4,1,2,0,0.20297245706070974,1,0,2,-1.2884179500215982,8,-0.2947544766187367,-0.8856866463353108,0.0,0.0,0,0
32,1,2,0,0,-0.7039894251537814,1,1,2,-1.2884179500215982,8,-0.3237577939161077,-0.8856866463353108,0.0,0.0,0,0
25,7,1,1,0,-0.6715979293604067,1,0,2,-1.2884179500215982,8,0.9958931431142718,-0.8856866463353108,0.0,0.0,0,0
40,5,1,0,0,-0.7315821808296191,1,1,2,-1.2884179500215982,8,-0.17149037810491008,-0.8856866463353108,0.0,0.0,0,0
44,0,1,1,0,-1.1778650117605591,1,0,2,-1.2884179500215982,8,-0.23674784202399476,-0.8856866463353108,0.0,0.0,0,0
39,4,2,2,0,-0.425662498336636,1,0,2,-1.2884179500215982,8,0.6623549941945055,-0.8856866463353108,0.0,0.0,0,0
52,2,1,1,0,-0.5960177725091991,1,1,2,-1.2884179500215982,8,-0.5630351616194182,-0.8856866463353108,0.0,0.0,0,0
46,4,2,1,0,-1.026704698058144,1,0,2,-1.2884179500215982,8,0.365070991896453,-0.13972611064458876,0.0,0.0,0,0
36,9,2,1,0,-0.4136656480427935,1,1,2,-1.2884179500215982,8,1.0393981190603283,-0.8856866463353108,0.0,0.0,0,0
57,9,1,1,0,0.2749535588237646,0,1,2,-1.2884179500215982,8,0.14754611216617067,-0.8856866463353108,0.0,0.0,0,0
49,4,1,2,0,-0.27810123972237355,1,0,2,-1.2884179500215982,8,0.1838002587878844,-0.8856866463353108,0.0,0.0,0,0
60,0,1,1,0,-0.6847944646836335,1,1,2,-1.2884179500215982,8,0.02428201365234402,-0.8856866463353108,0.0,0.0,0,0
59,1,1,1,0,-0.7315821808296191,1,0,2,-1.2884179500215982,8,0.15479694149051343,-0.8856866463353108,0.0,0.0,0,0
57,9,0,1,0,-0.6560020239784115,1,0,2,-1.2884179500215982,8,0.27081021067999733,-0.8856866463353108,0.0,0.0,0,0
25,1,1,1,0,-0.7399799760353089,1,0,2,-1.2884179500215982,8,1.1626622175741548,-0.8856866463353108,0.0,0.0,0,0
36,0,0,1,0,-0.12454155596118985,1,0,2,-1.2884179500215982,8,2.6998380343348165,-0.8856866463353108,0.0,0.0,0,0
37,0,2,1,0,-0.7315821808296191,1,0,2,-1.2884179500215982,8,-0.49052686837599085,-0.8856866463353108,0.0,0.0,0,0
44,7,0,1,0,2.370803305158045,1,0,2,-1.2884179500215982,8,-0.3237577939161077,-0.8856866463353108,0.0,0.0,0,0
50,4,1,1,0,-0.672797614389791,1,0,2,-1.2884179500215982,8,-0.1787412074292528,-0.13972611064458876,0.0,0.0,0,0
60,1,1,3,0,-0.6068149377736574,1,0,2,-1.2884179500215982,8,-1.3243722406754064,-0.8856866463353108,0.0,0.0,0,0
